tile_id,patch_row,patch_col,tile_center_lat,tile_center_lon,ndvi,ndbi,albedo,lst_c
0,0,0,51.13274883219548,2.9725412477833446,0.6139003837114511,-0.2036923127200358,0.1875348103515625,30.262378058515644
0,0,1,51.13274883219548,2.9725412477833446,0.5685674461980189,-0.1462026820292156,0.1630069029296875,31.06554537200002
0,0,2,51.13274883219548,2.9725412477833446,0.5689709167634062,-0.16026163272224542,0.17447156757812504,31.32830628781252
0,0,3,51.13274883219548,2.9725412477833446,0.6453080881612707,-0.24473038644176132,0.1769493126953125,30.650476872382832
0,0,4,51.13274883219548,2.9725412477833446,0.5975636279404835,-0.18857963754268525,0.18085893652343754,31.105173669687517
0,0,5,51.13274883219548,2.9725412477833446,0.5916485755970156,-0.17589003653756258,0.17431032050781253,31.09209573769533
0,0,6,51.13274883219548,2.9725412477833446,0.4939285957757408,-0.060119933106241,0.16163100371093753,33.452912805546895
0,0,7,51.13274883219548,2.9725412477833446,0.534452760173755,-0.10417976255935625,0.16273935039062504,32.70770433570315
0,0,8,51.13274883219548,2.9725412477833446,0.5755177542211176,-0.12398949363575729,0.17109545371093754,33.29025644363283
0,0,9,51.13274883219548,2.9725412477833446,0.5770281794754584,-0.18017558369368886,0.19804452792968752,31.849327359921894
0,0,10,51.13274883219548,2.9725412477833446,0.5370376849551628,-0.0850995766711446,0.1735537537109375,32.37082241527346
0,0,11,51.13274883219548,2.9725412477833446,0.4807168586900521,-0.013413545102564046,0.17653046738281253,32.2882825729297
0,0,12,51.13274883219548,2.9725412477833446,0.5351347343184243,-0.07883507579238042,0.18134810585937503,32.33160197093752
0,0,13,51.13274883219548,2.9725412477833446,0.4919250041774803,-0.07004879590011315,0.1669796513671875,35.569721965156276
0,1,0,51.13274883219548,2.9725412477833446,0.5454980810468464,-0.17062489250151158,0.182640246484375,31.694021076171893
0,1,1,51.13274883219548,2.9725412477833446,0.5114052694011474,-0.1347290823266276,0.16426937031250002,31.22241442601564
0,1,2,51.13274883219548,2.9725412477833446,0.5568773057739148,-0.139220078950896,0.1637604623046875,32.9307101132422
0,1,3,51.13274883219548,2.9725412477833446,0.5643403039929697,-0.13289315044376598,0.168329242578125,32.64017173742189
0,1,4,51.13274883219548,2.9725412477833446,0.47478343218148833,-0.0547612647573375,0.15291362539062497,33.54811667902345
0,1,5,51.13274883219548,2.9725412477833446,0.43186769386978086,-0.015790421124684612,0.14241039921875,34.27387180847658
0,1,6,51.13274883219548,2.9725412477833446,0.4875033905133531,-0.07939853287763178,0.14183884316406253,33.5997875282422
0,1,7,51.13274883219548,2.9725412477833446,0.542503104944801,-0.09784313584967137,0.15565978027343752,32.86901885773439
0,1,8,51.13274883219548,2.9725412477833446,0.5681779670564032,-0.11614282694575043,0.1704586734375,32.03531571382814
0,1,9,51.13274883219548,2.9725412477833446,0.6306074725421522,-0.17600584937737446,0.16771727285156252,30.47622461058596
0,1,10,51.13274883219548,2.9725412477833446,0.5791853743840194,-0.13429081175759164,0.17470992109375,30.18384370835939
0,1,11,51.13274883219548,2.9725412477833446,0.6725592873778213,-0.2444346703914507,0.18617995742187501,29.652168027031273
0,1,12,51.13274883219548,2.9725412477833446,0.6269681905507205,-0.19047342355866526,0.179260137890625,29.903793046250023
0,1,13,51.13274883219548,2.9725412477833446,0.6777137207490945,-0.2604018091793783,0.181434203515625,31.303138445234392
0,2,0,51.13274883219548,2.9725412477833446,0.4856245211588609,-0.10570398228421085,0.1901156158203125,32.48803646832033
0,2,1,51.13274883219548,2.9725412477833446,0.5459506983401323,-0.12731195297904963,0.19120312421875,32.63425028480471
0,2,2,51.13274883219548,2.9725412477833446,0.5408831495731365,-0.11970556016812661,0.16860267695312503,32.15685569843752
0,2,3,51.13274883219548,2.9725412477833446,0.4146002306738815,-0.04230951563383727,0.1540461572265625,34.62919234460939
0,2,4,51.13274883219548,2.9725412477833446,0.4881117028498951,-0.07039755832178109,0.151095621484375,34.173267196367206
0,2,5,51.13274883219548,2.9725412477833446,0.49171832629522993,-0.07387564909642465,0.14989698847656252,33.503054891914076
0,2,6,51.13274883219548,2.9725412477833446,0.5832802125375656,-0.11373100224891154,0.1661464826171875,31.83403973140627
0,2,7,51.13274883219548,2.9725412477833446,0.5999720581606947,-0.13869211183704527,0.17408233632812503,31.5277197163672
0,2,8,51.13274883219548,2.9725412477833446,0.6116797815790584,-0.16911719230470584,0.1861422830078125,31.76707457785158
0,2,9,51.13274883219548,2.9725412477833446,0.6771398252038909,-0.19797943361175635,0.17871961425781252,30.44654391347658
0,2,10,51.13274883219548,2.9725412477833446,0.5948779235954327,-0.0956271150768343,0.1821383685546875,31.21820198339846
0,2,11,51.13274883219548,2.9725412477833446,0.6793358650917576,-0.1637859222734815,0.18070338984375,29.608541541289082
0,2,12,51.13274883219548,2.9725412477833446,0.6070179429266434,-0.11737889271656232,0.18351348886718752,30.289762273437518
0,2,13,51.13274883219548,2.9725412477833446,0.7008603788417156,-0.2722552578184749,0.179750148828125,28.636655592734396
0,3,0,51.13274883219548,2.9725412477833446,0.6436503304681568,-0.24572539125047274,0.19901606992187498,31.400425174648458
0,3,1,51.13274883219548,2.9725412477833446,0.6259469648552912,-0.20691302696283703,0.183040230078125,30.785421904179707
0,3,2,51.13274883219548,2.9725412477833446,0.5646926327812365,-0.12116204897767752,0.16784234785156252,32.06989646304689
0,3,3,51.13274883219548,2.9725412477833446,0.34128997422983204,-0.014086195244856053,0.14346018320312504,36.018797721757835
0,3,4,51.13274883219548,2.9725412477833446,0.4441380391984734,-0.0628455838956177,0.1679018802734375,33.551454589179706
